name,address,latitude,longitude
Convocation Hall,"31 King's College Cir, Toronto, ON, M5S 1A1",43.6607,-79.3950
Robarts Library,"130 St. George St, Toronto, ON, M5S 1A5",43.6645,-79.3999
University College,"15 King's College Cir, Toronto, ON, M5S 3H7",43.6618,-79.3952
Hart House,"7 Hart House Cir, Toronto, ON, M5S 3H3",43.6620,-79.3945
Bahen Centre for Information Technology,"40 St. George St, Toronto, ON, M5S 2E4",43.6597,-79.3973
Trinity College,"6 Hoskin Ave, Toronto, ON, M5S 1H8",43.6673,-79.3926
Victoria College,"91 Charles St W, Toronto, ON, M5S 1K7",43.6677,-79.3929
Munk School of Global Affairs,"1 Devonshire Pl, Toronto, ON, M5S 3K7",43.6687,-79.3992
Banting and Best Department of Medical Research,"112 College St, Toronto, ON, M5G 1L6",43.6596,-79.3894
Medical Sciences Building,"1 King's College Cir, Toronto, ON, M5S 1A8",43.6604,-79.3963
Earth Sciences Centre,"22 Russell St, Toronto, ON, M5S 3B1",43.6588,-79.3985
Sandford Fleming Building,"10 King's College Rd, Toronto, ON, M5S 3G4",43.6595,-79.3976
Myhal Centre for Engineering Innovation & Entrepreneurship,"55 St. George St, Toronto, ON, M5S 0C9",43.6591,-79.3983
Galbraith Building,"35 St. George St, Toronto, ON, M5S 1A4",43.6585,-79.3979
Goldring Centre for High Performance Sport,"100 Devonshire Pl, Toronto, ON, M5S 2C9",43.6671,-79.4000
Koffler Student Services Centre,"214 College St, Toronto, ON, M5T 2Z9",43.6573,-79.3930
Leslie L. Dan Faculty of Pharmacy,"144 College St, Toronto, ON, M5S 3M2",43.6579,-79.3913
Lassonde Mining Building,"170 College St, Toronto, ON, M5S 3E3",43.6578,-79.3902
Innis College,"2 Sussex Ave, Toronto, ON, M5S 1J5",43.6662,-79.4006
Woodsworth College,"119 St. George St, Toronto, ON, M5S 1A9",43.6678,-79.3997
Rotman School of Management,"105 St. George St, Toronto, ON, M5S 3E6",43.6674,-79.3990
Jackman Humanities Building,"170 St. George St, Toronto, ON, M5R 2M8",43.6673,-79.3969
Faculty of Law,"78 Queen's Park, Toronto, ON, M5S 2C5",43.6661,-79.3936
George Ignatieff Theatre,"15 Devonshire Pl, Toronto, ON, M5S 2C8",43.6675,-79.3985
William Doo Auditorium,"45 Willcocks St, Toronto, ON, M5S 1C7",43.6609,-79.3998
